prior	after smooth	after rf
-3.420830487	0.35485053	0.372256317
-3.554990114	0.117881167	-0.727746813
-4.581721005	-0.743014229	0.028268198
-4.059736176	1.07419153	0.753148533
-4.417310859	0.16107801	0.295665391
-3.645532085	-0.042154814	0.632468617
-3.263473918	-0.681937918	-0.954878634
-4.224731572	-0.234063189	0.152038788
-4.840107604	-1.282588461	-0.026042959
-3.205775832	0.277636048	0.562207735
-3.116181254	-0.921920746	0.418591883
-2.550203017	0.903545894	0.265234551
-4.905498525	-0.516509389	0.258448836
-4.70891297	-0.131861651	-0.043269234
-4.88753094	0.935697191	0.69025799
-4.02297272	3.344664732	-0.062503101
-4.139409664	-0.187509304	0.324278171
-2.257722278	-0.205058255	0.996404095
-2.092925031	0.062765612	0.176445475
-4.045575979	0.472110866	0.202694751
-4.430494508	-0.237642122	0.390227673
-5.493745806	0.780455347	0.192768019
-4.371090549	3.069459989	-0.377431606
-4.684030345	-0.478410338	0.262806392
-4.593313937	-0.538189512	-0.473628407
-2.915456363	1.011406419	0.780968697
-4.20856318	-0.098672585	0.989925275
-2.273770124	0.230697244	-0.250937009
-4.695385236	0.719801841	0.263723302
-3.611246565	0.518898664	-0.055580864
-4.024324587	0.319330734	0.120628775
